"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1",0,1,1,1,2,1,1,1,3,3
"2",4,2,4,4,5,7,3,4,12,8
"3",5,6,2,2,5,3,3,3,6,6
"4",3,2,1,6,2,4,1,1,5,4
"5",2,0,3,2,3,2,0,1,3,3
"6",0,1,0,1,2,2,0,1,2,3
"7",8,7,8,8,8,9,5,11,21,21
"8",10,11,7,7,11,7,8,14,17,24
"9",5,3,3,4,5,2,3,3,6,8
"10",4,5,4,7,3,7,4,4,9,5
"11",4,0,2,2,1,1,2,3,3,7
"12",1,4,0,4,1,5,3,1,5,2
"13",6,0,6,4,1,4,1,1,12,2
"14",2,0,2,2,2,2,2,3,5,5
"15",3,3,2,6,3,3,3,3,10,8
"16",3,4,2,3,4,3,1,4,9,6
"17",4,5,2,4,4,5,5,4,6,6
"18",1,2,0,0,2,0,1,2,0,2
"19",3,5,1,4,2,3,1,2,7,3
"20",2,1,1,4,2,5,4,0,7,4
"21",1,1,1,1,2,2,1,3,3,4
"22",1,0,1,0,1,1,1,0,1,2
"23",6,2,4,6,1,8,1,2,14,5
"24",2,4,2,2,4,2,3,5,2,6
"25",5,1,3,4,4,7,2,3,7,5
"26",4,3,1,3,1,2,4,1,4,4
"27",6,3,0,4,3,1,1,2,7,4
"28",2,2,2,4,4,5,1,5,5,6
"29",6,2,4,6,2,9,2,3,11,5
"30",6,6,3,7,5,8,9,6,11,7
"31",2,3,1,3,2,1,1,2,3,4
"32",6,5,3,7,3,5,1,3,6,11
"33",3,2,2,2,2,3,0,2,5,2
"34",2,1,6,3,1,4,1,1,6,2
"35",0,2,0,0,3,0,2,2,0,3
"36",3,4,2,4,5,5,3,4,6,5
"37",0,5,0,0,2,3,3,5,5,7
"38",3,4,3,3,1,5,0,2,8,1
"39",3,4,0,2,6,2,4,5,5,8
"40",1,2,1,2,4,2,1,3,4,6
"41",3,4,1,3,4,5,4,2,8,6
"42",0,2,2,1,4,2,2,2,3,6
"43",10,7,6,7,12,5,6,9,13,16
"44",1,3,1,2,3,2,0,2,2,6
"45",0,1,1,1,1,1,0,5,4,5
"46",4,4,4,5,5,3,2,6,10,7
"47",0,0,0,1,1,0,0,3,0,2
"48",2,2,1,3,1,3,1,1,4,6
"49",2,3,1,2,3,1,1,4,1,6
"50",6,5,2,6,3,2,2,2,8,4
